Start Time (UTC),End Time (UTC),Duration (min),Min (km),Max (km),Conjunction Type,Conjunction Between,asi_array_and_id,asi_array,asi
2021-10-14 04:33:00,2021-10-14 04:34:00,2,353,416,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-10-14 04:33:00,2021-10-14 04:35:00,3,194,464,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-11-15 03:06:00,2021-11-15 03:07:00,2,160,315,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-11-15 03:07:00,2021-11-15 03:08:00,2,432,468,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-11-17 03:11:00,2021-11-17 03:12:00,2,269,402,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-11-17 03:12:00,2021-11-17 03:13:00,2,314,359,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-11-26 02:46:00,2021-11-26 02:48:00,3,183,471,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-11-26 02:47:00,2021-11-26 02:48:00,2,345,440,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-11-28 02:51:00,2021-11-28 02:52:00,2,358,414,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-11-28 02:52:00,2021-11-28 02:53:00,2,222,368,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-12-03 02:16:00,2021-12-03 02:17:00,2,97,339,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-12-08 01:40:00,2021-12-08 01:40:00,1,419,419,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-12-09 02:28:00,2021-12-09 02:29:00,2,378,437,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-12-09 02:28:00,2021-12-09 02:30:00,3,170,459,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-12-13 01:32:00,2021-12-13 01:32:00,1,462,462,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-12-16 02:20:00,2021-12-16 02:20:00,1,483,483,nbtrace,TREx RGB LUCK and ELFIN-A,TREx RGB LUCK ,TREx RGB,LUCK
2021-12-16 02:21:00,2021-12-16 02:21:00,1,427,427,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-12-16 02:21:00,2021-12-16 02:23:00,3,122,497,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2021-12-17 01:35:00,2021-12-17 01:37:00,3,234,486,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-12-19 01:14:00,2021-12-19 01:14:00,1,454,454,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-12-21 01:39:00,2021-12-21 01:41:00,3,57,465,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-12-23 01:41:00,2021-12-23 01:42:00,2,186,249,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-12-23 01:42:00,2021-12-23 01:42:00,1,459,459,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2021-12-25 01:23:00,2021-12-25 01:24:00,2,141,319,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-12-25 01:42:00,2021-12-25 01:44:00,3,146,465,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-12-25 01:43:00,2021-12-25 01:44:00,2,375,475,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2021-12-27 01:26:00,2021-12-27 01:27:00,2,201,223,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-12-27 01:27:00,2021-12-27 01:27:00,1,476,476,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-12-27 01:44:00,2021-12-27 01:45:00,2,271,364,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-12-27 01:45:00,2021-12-27 01:45:00,1,276,276,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2021-12-28 00:59:00,2021-12-28 00:59:00,1,442,442,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-12-29 01:45:00,2021-12-29 01:46:00,2,363,400,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-12-29 01:45:00,2021-12-29 01:47:00,3,198,488,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2021-12-30 00:59:00,2021-12-30 01:00:00,2,372,434,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-12-31 01:31:00,2021-12-31 01:32:00,2,295,340,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-12-31 01:32:00,2021-12-31 01:33:00,2,274,474,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2022-01-01 00:46:00,2022-01-01 00:46:00,1,429,429,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-01-02 01:31:00,2022-01-02 01:33:00,3,213,487,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2022-01-02 01:33:00,2022-01-02 01:34:00,2,367,439,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-01-02 01:34:00,2022-01-02 01:35:00,2,216,344,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2022-01-03 00:48:00,2022-01-03 00:49:00,2,364,383,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-01-03 00:59:00,2022-01-03 01:00:00,2,440,444,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-03 01:00:00,2022-01-03 01:02:00,3,185,483,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-05 01:00:00,2022-01-05 01:00:00,1,302,302,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-05 01:01:00,2022-01-05 01:02:00,2,207,266,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-07 01:00:00,2022-01-07 01:01:00,2,282,323,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-07 01:01:00,2022-01-07 01:03:00,3,33,422,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-09 00:52:00,2022-01-09 00:53:00,2,237,352,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2022-01-09 00:54:00,2022-01-09 00:55:00,2,113,309,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-01-11 01:00:00,2022-01-11 01:02:00,3,50,424,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-11 01:02:00,2022-01-11 01:03:00,2,208,269,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-11 01:03:00,2022-01-11 01:04:00,2,405,493,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2022-01-13 00:55:00,2022-01-13 00:57:00,3,33,445,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2022-01-13 00:57:00,2022-01-13 00:58:00,2,222,326,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-01-13 00:58:00,2022-01-13 00:59:00,2,364,433,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2022-01-13 01:00:00,2022-01-13 01:02:00,3,52,461,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-13 01:02:00,2022-01-13 01:03:00,2,222,344,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-13 01:03:00,2022-01-13 01:04:00,2,359,417,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2022-01-14 00:12:00,2022-01-14 00:12:00,1,488,488,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-01-14 12:53:00,2022-01-14 12:54:00,2,403,478,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-01-14 12:55:00,2022-01-14 12:55:00,1,437,437,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2022-01-14 12:57:00,2022-01-14 12:57:00,1,397,397,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-14 12:59:00,2022-01-14 12:59:00,1,450,450,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-15 00:57:00,2022-01-15 00:58:00,2,216,270,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2022-01-15 00:59:00,2022-01-15 01:00:00,2,273,431,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-01-15 00:59:00,2022-01-15 01:00:00,2,257,432,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2022-01-15 01:00:00,2022-01-15 01:02:00,3,114,464,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-15 01:02:00,2022-01-15 01:03:00,2,283,381,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-15 01:03:00,2022-01-15 01:04:00,2,297,379,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2022-01-16 00:13:00,2022-01-16 00:14:00,2,418,474,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-01-16 00:16:00,2022-01-16 00:17:00,2,446,482,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-16 12:54:00,2022-01-16 12:55:00,2,318,413,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-01-16 12:56:00,2022-01-16 12:57:00,2,362,432,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2022-01-16 12:57:00,2022-01-16 12:57:00,1,323,323,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-16 12:58:00,2022-01-16 12:59:00,2,392,465,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-18 12:56:00,2022-01-18 12:57:00,2,295,382,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-18 12:58:00,2022-01-18 12:59:00,2,322,414,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-20 12:56:00,2022-01-20 12:57:00,2,204,428,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-20 12:57:00,2022-01-20 12:58:00,2,252,382,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-22 00:13:00,2022-01-22 00:13:00,1,462,462,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-22 00:14:00,2022-01-22 00:15:00,2,244,418,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-22 12:55:00,2022-01-22 12:56:00,2,209,304,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-22 12:56:00,2022-01-22 12:57:00,2,161,448,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-22 12:57:00,2022-01-22 12:58:00,2,137,293,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-01-24 00:13:00,2022-01-24 00:15:00,3,179,471,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-24 12:54:00,2022-01-24 12:55:00,2,215,241,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-24 12:55:00,2022-01-24 12:55:00,1,471,471,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-01-26 00:12:00,2022-01-26 00:14:00,3,127,459,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-26 00:17:00,2022-01-26 00:19:00,3,16,421,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-01-26 12:53:00,2022-01-26 12:54:00,2,177,250,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-01-26 12:54:00,2022-01-26 12:54:00,1,439,439,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-02-01 00:18:00,2022-02-01 00:19:00,2,263,374,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-02-02 12:13:00,2022-02-02 12:13:00,1,342,342,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-02-02 12:14:00,2022-02-02 12:15:00,2,409,488,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2022-02-08 12:11:00,2022-02-08 12:12:00,2,210,330,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-02-08 12:12:00,2022-02-08 12:14:00,3,184,477,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2022-02-10 12:10:00,2022-02-10 12:11:00,2,159,325,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-02-10 12:11:00,2022-02-10 12:13:00,3,129,476,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2022-02-21 12:45:00,2022-02-21 12:46:00,2,311,383,nbtrace,TREx RGB FSMI and ELFIN-B,TREx RGB FSMI ,TREx RGB,FSMI
2022-02-21 12:45:00,2022-02-21 12:47:00,3,220,488,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2022-02-28 11:17:00,2022-02-28 11:18:00,2,383,480,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-02-28 11:19:00,2022-02-28 11:19:00,1,421,421,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-03-03 10:59:00,2022-03-03 10:59:00,1,475,475,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-03-04 11:07:00,2022-03-04 11:07:00,1,395,395,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-03-04 11:08:00,2022-03-04 11:09:00,2,485,498,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-03-05 10:55:00,2022-03-05 10:55:00,1,473,473,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-03-08 10:55:00,2022-03-08 10:55:00,1,438,438,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-03-08 10:57:00,2022-03-08 10:57:00,1,495,495,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-03-09 10:47:00,2022-03-09 10:47:00,1,449,449,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-03-11 10:42:00,2022-03-11 10:42:00,1,483,483,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-03-13 10:37:00,2022-03-13 10:37:00,1,496,496,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-03-15 10:32:00,2022-03-15 10:32:00,1,472,472,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-03-17 11:57:00,2022-03-17 11:59:00,3,187,500,nbtrace,TREx RGB FSMI and ELFIN-B,TREx RGB FSMI ,TREx RGB,FSMI
2022-03-17 11:59:00,2022-03-17 12:00:00,2,300,332,nbtrace,TREx RGB ATHA and ELFIN-B,TREx RGB ATHA ,TREx RGB,ATHA
2022-03-17 12:00:00,2022-03-17 12:01:00,2,275,363,nbtrace,TREx RGB LUCK and ELFIN-B,TREx RGB LUCK ,TREx RGB,LUCK
2022-03-21 10:53:00,2022-03-21 10:55:00,3,35,455,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-03-21 10:55:00,2022-03-21 10:56:00,2,190,230,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-03-23 10:45:00,2022-03-23 10:46:00,2,175,268,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-03-23 10:46:00,2022-03-23 10:48:00,3,73,432,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-03-25 10:36:00,2022-03-25 10:37:00,2,241,258,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-03-25 10:38:00,2022-03-25 10:39:00,2,163,385,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-03-29 10:17:00,2022-03-29 10:18:00,2,313,404,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-03-29 10:19:00,2022-03-29 10:20:00,2,349,431,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-03-31 10:07:00,2022-03-31 10:08:00,2,407,444,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-03-31 10:09:00,2022-03-31 10:09:00,1,431,431,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-04-05 10:01:00,2022-04-05 10:02:00,2,250,377,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-04-05 10:02:00,2022-04-05 10:03:00,2,254,456,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2022-04-18 09:45:00,2022-04-18 09:46:00,2,180,333,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-04-20 09:21:00,2022-04-20 09:21:00,1,323,323,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2022-04-20 09:22:00,2022-04-20 09:23:00,2,404,449,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2022-04-20 09:28:00,2022-04-20 09:29:00,2,302,439,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2022-04-20 09:29:00,2022-04-20 09:30:00,2,335,484,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-05-04 08:57:00,2022-05-04 08:58:00,2,373,448,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-05-30 08:22:00,2022-05-30 08:24:00,3,65,459,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2022-06-01 07:54:00,2022-06-01 07:55:00,2,387,479,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
